Problem,run,Algo,Optimal
gr17,3,QLSA epsilon_greedy,2167.0
gr17,7,QLSA epsilon_greedy,2090.0
gr17,1,QLSA epsilon_greedy,2147.0
gr17,8,QLSA epsilon_greedy,2103.0
gr17,4,QLSA epsilon_greedy,2090.0
gr17,2,QLSA epsilon_greedy,2120.0
gr17,6,QLSA epsilon_greedy,2142.0
gr17,5,QLSA epsilon_greedy,2182.0
gr21,3,QLSA epsilon_greedy,3039.0
gr21,8,QLSA epsilon_greedy,2915.0
gr21,7,QLSA epsilon_greedy,3020.0
gr21,1,QLSA epsilon_greedy,3007.0
gr21,4,QLSA epsilon_greedy,2877.0
gr21,6,QLSA epsilon_greedy,2707.0
gr21,2,QLSA epsilon_greedy,2707.0
bayg29,8,QLSA softmax,1759.0
gr21,5,QLSA epsilon_greedy,3015.0
bayg29,5,QLSA softmax,1662.0
bayg29,2,QLSA softmax,1745.0
bayg29,4,QLSA softmax,1649.0
bayg29,6,QLSA softmax,1733.0
bayg29,3,QLSA softmax,1680.0
bayg29,7,QLSA softmax,1622.0
bayg29,1,QLSA softmax,1695.0
gr24,3,QLSA epsilon_greedy,1343.0
gr24,8,QLSA epsilon_greedy,1302.0
gr24,1,QLSA epsilon_greedy,1272.0
gr24,7,QLSA epsilon_greedy,1322.0
dantzig42,3,SA,750.0
gr24,4,QLSA epsilon_greedy,1503.0
gr24,2,QLSA epsilon_greedy,1455.0
dantzig42,5,SA,740.0
gr24,6,QLSA epsilon_greedy,1383.0
dantzig42,6,SA,841.0
gr24,5,QLSA epsilon_greedy,1370.0
dantzig42,4,SA,781.0
dantzig42,8,SA,753.0
dantzig42,2,SA,745.0
dantzig42,1,SA,749.0
bays29,8,QLSA softmax,2074.0
bays29,2,QLSA softmax,2245.0
bays29,5,QLSA softmax,2132.0
bays29,4,QLSA softmax,2221.0
dantzig42,7,SA,797.0
bays29,3,QLSA softmax,2036.0
bays29,6,QLSA softmax,2116.0
bays29,7,QLSA softmax,2068.0
bays29,1,QLSA softmax,2275.0
hk48,2,QLSA softmax,12897.0
hk48,8,QLSA softmax,13434.0
hk48,1,QLSA softmax,12495.0
hk48,4,QLSA softmax,12032.0
hk48,3,QLSA softmax,12210.0
hk48,5,QLSA softmax,11712.0
hk48,7,QLSA softmax,11461.0
hk48,6,QLSA softmax,12336.0
gr48,8,QLSA epsilon_greedy,5557.0
gr48,1,QLSA epsilon_greedy,5481.0
gr48,3,QLSA epsilon_greedy,5329.0
gr48,6,QLSA epsilon_greedy,5611.0
gr48,4,QLSA epsilon_greedy,5159.0
gr48,7,QLSA epsilon_greedy,5151.0
gr48,2,QLSA epsilon_greedy,5096.0
gr48,5,QLSA epsilon_greedy,5137.0
eil51,3,SA,480.0
eil51,5,SA,507.0
eil51,6,SA,513.0
eil51,4,SA,479.0
eil51,8,SA,480.0
eil51,1,SA,474.0
eil51,2,SA,467.0
eil51,7,SA,523.0
berlin52,2,QLSA softmax,7596.0
berlin52,8,QLSA softmax,8129.0
berlin52,4,QLSA softmax,7869.0
berlin52,7,QLSA softmax,8098.0
berlin52,3,QLSA softmax,8141.0
berlin52,1,QLSA softmax,7900.0
berlin52,5,QLSA softmax,8019.0
berlin52,6,QLSA softmax,7968.0
burma14,4,QLSA softmax,3323.0
burma14,2,QLSA softmax,3551.0
burma14,7,QLSA softmax,3371.0
burma14,3,QLSA softmax,3390.0
burma14,8,QLSA softmax,3323.0
burma14,1,QLSA softmax,3323.0
burma14,5,QLSA softmax,3466.0
burma14,6,QLSA softmax,3323.0
hk48,8,QLSA epsilon_greedy,12555.0
hk48,2,QLSA epsilon_greedy,12262.0
hk48,7,QLSA epsilon_greedy,12307.0
hk48,1,QLSA epsilon_greedy,11598.0
hk48,3,QLSA epsilon_greedy,12033.0
hk48,6,QLSA epsilon_greedy,11966.0
hk48,4,QLSA epsilon_greedy,12489.0
