,,run,run,run,run,run,run,run,run,Optimal,Optimal,Optimal,Optimal,Optimal,Optimal,Optimal,Optimal
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Problem,Algo,,,,,,,,,,,,,,,,
bayg29,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,1701.9666666666667,58.76633057453394,1622.0,1658.0,1696.5,1734.0,1851.0
bayg29,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,1710.1666666666667,62.115067489260625,1622.0,1662.75,1704.0,1743.5,1875.0
bayg29,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,1718.3666666666666,79.03403166307245,1610.0,1647.75,1714.0,1769.5,1925.0
bays29,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,2159.133333333333,86.70390888588561,2028.0,2100.5,2163.0,2211.25,2341.0
bays29,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,2137.866666666667,76.75025927546156,2020.0,2081.25,2135.0,2182.5,2309.0
bays29,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,2130.9333333333334,69.60327644553828,2026.0,2080.0,2124.5,2189.75,2261.0
berlin52,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,8072.666666666667,247.50344244674355,7543.0,7874.25,8067.5,8226.0,8638.0
berlin52,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,8013.9,287.06305326830926,7542.0,7864.5,7978.5,8124.75,8658.0
berlin52,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,8150.266666666666,307.82652227527757,7721.0,7907.0,8076.5,8316.5,9036.0
burma14,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,3392.0333333333333,87.72232182931798,3323.0,3323.0,3341.0,3451.0,3580.0
burma14,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,3419.5333333333333,105.42385169280776,3323.0,3326.25,3380.5,3475.75,3669.0
burma14,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,3523.6666666666665,153.29492272522705,3323.0,3359.0,3548.0,3651.75,3770.0
dantzig42,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,775.8333333333334,34.73950680901117,719.0,747.25,772.0,798.25,841.0
dantzig42,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,776.3,38.83754848614667,715.0,747.25,774.0,789.75,864.0
dantzig42,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,781.1,41.73260529642963,718.0,746.0,784.5,812.75,855.0
eil51,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,472.53333333333336,17.97648527906681,445.0,459.0,469.5,484.75,517.0
eil51,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,478.8666666666667,29.695852878153197,433.0,455.5,476.5,489.75,558.0
eil51,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,477.8,21.659432921541566,444.0,464.25,473.0,483.75,523.0
eil76,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,626.0666666666667,45.36741450480261,571.0,592.25,609.5,651.25,738.0
eil76,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,623.0666666666667,31.49376876882739,586.0,604.0,613.0,635.0,720.0
eil76,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,621.4,34.636635975858546,568.0,596.25,615.5,637.0,698.0
fri26,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,1002.3,40.363990438730546,955.0,974.5,989.5,1031.5,1096.0
fri26,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,996.6333333333333,41.676490795860815,937.0,968.75,986.0,1022.75,1119.0
fri26,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,1024.3666666666666,46.2977495046509,937.0,990.0,1026.5,1055.75,1104.0
gr17,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,2140.0333333333333,49.50965307014822,2085.0,2091.25,2123.0,2182.0,2277.0
gr17,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,2127.133333333333,58.01886336138555,2085.0,2090.0,2090.0,2148.75,2294.0
gr17,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,2173.9,71.71464045208909,2085.0,2100.25,2161.0,2224.75,2307.0
gr21,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,2906.8333333333335,164.10994702529058,2707.0,2783.5,2911.0,3029.75,3255.0
gr21,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,2883.866666666667,175.43654581983594,2707.0,2707.0,2823.0,3015.5,3298.0
gr21,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,3024.3,201.21786957048013,2707.0,2914.75,3015.0,3099.0,3566.0
gr24,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,1352.4,60.47433197304627,1272.0,1310.25,1343.5,1389.0,1503.0
gr24,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,1351.5333333333333,61.15087803995517,1272.0,1304.75,1347.5,1375.0,1485.0
gr24,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,1377.0666666666666,81.9675854071063,1272.0,1313.75,1360.5,1460.25,1525.0
gr48,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,5374.933333333333,196.9948246009022,5096.0,5182.5,5373.5,5525.25,5768.0
gr48,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,5401.533333333334,169.43694449829866,5074.0,5290.0,5418.0,5528.75,5753.0
gr48,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,5374.033333333334,195.85647160935062,5083.0,5183.5,5414.0,5498.75,5704.0
hk48,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,12235.366666666667,521.848735074495,11565.0,11909.25,12075.0,12443.5,13346.0
hk48,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,12298.133333333333,532.5036333587124,11461.0,11890.75,12193.5,12553.25,13434.0
hk48,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,12473.366666666667,584.8504367215035,11508.0,12055.75,12436.5,12802.25,13817.0
kroA100,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,22920.966666666667,825.7837440601643,21569.0,22201.5,22855.5,23486.25,24742.0
kroA100,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,23228.133333333335,1158.1461921099817,21688.0,22284.0,22907.0,24142.5,25299.0
kroA100,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,23195.3,855.6723168322693,21823.0,22705.0,23140.5,23723.0,25837.0
kroB100,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,23800.7,607.5403292985068,22816.0,23326.75,23703.0,24231.75,25126.0
kroB100,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,23865.5,695.2880202006093,22634.0,23507.75,23713.0,24210.5,25464.0
kroB100,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,23948.0,840.2891538446546,22504.0,23335.5,23937.5,24584.5,25633.0
kroC100,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,22691.333333333332,1006.3180868661871,21232.0,22098.75,22436.0,23140.0,25062.0
kroC100,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,22830.9,1144.6093551347853,21074.0,21859.25,22773.5,23891.5,24965.0
kroC100,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,22836.0,1263.198239827561,21013.0,21686.5,22687.0,24005.75,25598.0
pr107,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,47551.73333333333,2018.2324450614826,44438.0,45705.25,47373.0,49019.25,51598.0
pr107,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,47643.76666666667,1974.7557803318423,44509.0,46256.0,47138.5,49268.75,52244.0
pr107,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,48066.066666666666,1965.1928208164475,44684.0,46610.25,48099.0,49644.5,52628.0
swiss42,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,1388.3,64.36970266118723,1273.0,1334.75,1393.0,1420.0,1523.0
swiss42,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,1375.5,45.912773371042285,1297.0,1337.25,1369.0,1415.25,1462.0
swiss42,SA,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,1392.7666666666667,49.11610686956966,1312.0,1357.25,1384.0,1425.25,1493.0
ulysses16,QLSA epsilon_greedy,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,6923.4,71.22843291251336,6859.0,6866.25,6897.5,6971.75,7117.0
ulysses16,QLSA softmax,30.0,15.5,8.803408430829505,1.0,8.25,15.5,22.75,30.0,30.0,7011.266666666666,167.55152235559711,6859.0,6914.25,6957.0,7044.5,7500.0
