,Problem,Metric,Greedy,Greedy_state,Greedy_state_without_reset,Greedy_without_reset,QL-SA_softmax,QL-SA_softmax_state,QL-SA_softmax_state_without_reset,QL-SA_softmax_without_reset,SA,Uniform
0,bayg29,count_run,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1,bayg29,min_val,1645.0,1638.0,1610.0,1620.0,1630.0,1622.0,1610.0,1610.0,1698.0,1683.0
2,bayg29,max_val,1757.0,1764.0,1658.0,1716.0,1741.0,1772.0,1742.0,1679.0,1930.0,1962.0
3,bayg29,mean_val,1692.9,1699.3,1629.0,1663.0,1693.5,1694.4,1657.0,1642.8,1826.0,1792.7
4,bayg29,std_val,34.70654757310851,39.757738589836535,18.35453319724826,32.53032773001563,34.48751787080203,52.30933632408908,41.553178779326416,22.48357425124199,74.7008850163251,95.99774302902476
5,bays29,count_run,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
6,bays29,min_val,2089.0,2028.0,2020.0,2035.0,2055.0,2026.0,2026.0,2020.0,2107.0,2020.0
7,bays29,max_val,2242.0,2318.0,2092.0,2191.0,2220.0,2185.0,2131.0,2103.0,2513.0,2503.0
8,bays29,mean_val,2160.0,2150.3,2050.0,2096.1,2132.5,2098.4,2069.0,2062.1,2335.8,2183.6
9,bays29,std_val,44.524649852013916,86.5140322593843,19.42506971244458,53.21121435687527,49.900456466404684,57.436341573374385,34.03592872898349,28.384072215867054,123.50150696336551,160.6965394082206
