,Problem,Metric,Greedy,Greedy_state,Greedy_state_without_reset,Greedy_without_reset,QL-SA_softmax,QL-SA_softmax_state,QL-SA_softmax_state_without_reset,QL-SA_softmax_without_reset,SA,Uniform
0,bays29,count_run,3.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0
1,bays29,min_val,2020.0,2204.0,2020.0,2020.0,2039.0,2058.0,2145.0,2020.0,2190.0,2129.0
2,bays29,max_val,2182.0,2204.0,2102.0,2020.0,2144.0,2259.0,2145.0,2035.0,2410.0,2226.0
3,bays29,mean_val,2105.6666666666665,2204.0,2061.0,2020.0,2087.0,2158.5,2145.0,2027.0,2297.3333333333335,2164.3333333333335
4,bays29,std_val,81.40229316999199,,57.982756057296896,,53.075418038862395,142.12846301849606,,7.54983443527075,110.09692699314243,53.59415391004263
5,eil51,count_run,3.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0
6,eil51,min_val,435.0,473.0,437.0,442.0,457.0,453.0,428.0,427.0,459.0,442.0
7,eil51,max_val,464.0,473.0,443.0,450.0,465.0,466.0,428.0,443.0,468.0,500.0
8,eil51,mean_val,446.0,473.0,440.0,446.0,461.6666666666667,459.5,428.0,432.6666666666667,462.3333333333333,474.3333333333333
9,eil51,std_val,15.716233645501712,,4.242640687119285,5.656854249492381,4.163331998932273,9.192388155425117,,8.962886439832506,4.932882862316244,29.56912804486013
10,eil76,count_run,3.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0
11,eil76,min_val,567.0,600.0,551.0,574.0,553.0,570.0,552.0,555.0,581.0,599.0
12,eil76,max_val,586.0,624.0,551.0,586.0,577.0,570.0,552.0,555.0,612.0,604.0
13,eil76,mean_val,573.6666666666666,612.0,551.0,580.0,565.0,570.0,552.0,555.0,596.5,601.5
14,eil76,std_val,10.692676621563619,16.97056274847714,,8.48528137423857,12.0,,,0.0,21.920310216782973,3.5355339059327378
15,gr17,count_run,3.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0
16,gr17,min_val,2182.0,2179.0,2085.0,2103.0,2126.0,2123.0,2094.0,2085.0,2210.0,2168.0
17,gr17,max_val,2194.0,2181.0,2085.0,2103.0,2199.0,2123.0,2104.0,2095.0,2687.0,2319.0
18,gr17,mean_val,2187.6666666666665,2180.0,2085.0,2103.0,2170.0,2123.0,2099.0,2090.0,2448.5,2243.5
19,gr17,std_val,6.027713773341702,1.4142135623730951,,0.0,38.742741255621034,,7.0710678118654755,7.0710678118654755,337.28993462598316,106.77312395916867
20,hk48,count_run,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0
21,hk48,min_val,11708.0,11847.0,12147.0,12126.0,12165.0,11848.0,11773.0,12027.0,13086.0,12374.0
22,hk48,max_val,12339.0,12008.0,12147.0,12313.0,12470.0,11848.0,12844.0,12027.0,14572.0,12496.0
23,hk48,mean_val,12064.0,11927.5,12147.0,12219.5,12267.0,11848.0,12308.5,12027.0,13773.0,12435.0
24,hk48,std_val,323.20426977377633,113.84419177103415,,132.22896808188437,175.8038679893022,,757.3113626507924,,749.3043440418586,86.2670273047588
25,swiss42,count_run,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0
26,swiss42,min_val,1361.0,1404.0,1375.0,1315.0,1318.0,1313.0,1348.0,1337.0,1430.0,1406.0
27,swiss42,max_val,1418.0,1408.0,1375.0,1359.0,1384.0,1313.0,1353.0,1337.0,1568.0,1471.0
28,swiss42,mean_val,1393.3333333333333,1406.0,1375.0,1337.0,1352.3333333333333,1313.0,1350.5,1337.0,1506.6666666666667,1447.0
29,swiss42,std_val,29.2631736715848,2.8284271247461903,,31.11269837220809,33.08070938376823,,3.5355339059327378,,70.26616065598954,35.679125549822544
