,Problem,Metric,Greedy,Greedy_state,Greedy_state_without_reset,Greedy_without_reset,QL-SA_softmax,QL-SA_softmax_state,QL-SA_softmax_state_without_reset,QL-SA_softmax_without_reset,SA,Uniform
0,bays29,Optimal,2105.6666666666665,2204.0,2061.0,2020.0,2087.0,2158.5,2145.0,2027.0,2297.3333333333335,2164.3333333333335
1,bays29,run,2.0,1.0,1.5,1.0,2.0,1.5,1.0,2.0,2.0,2.0
2,eil51,Optimal,446.0,473.0,440.0,446.0,461.6666666666667,459.5,428.0,432.6666666666667,462.3333333333333,474.3333333333333
3,eil51,run,2.0,1.0,1.5,1.5,2.0,1.5,1.0,2.0,2.0,2.0
4,eil76,Optimal,573.6666666666666,612.0,551.0,580.0,565.0,570.0,552.0,555.0,596.5,601.5
5,eil76,run,2.0,1.5,1.0,1.5,2.0,1.0,1.0,2.0,1.5,1.5
6,gr17,Optimal,2187.6666666666665,2180.0,2085.0,2103.0,2170.0,2123.0,2099.0,2090.0,2448.5,2243.5
7,gr17,run,2.0,1.5,1.0,1.5,2.0,1.0,1.5,2.0,1.5,1.5
8,hk48,Optimal,12064.0,11927.5,12147.0,12219.5,12267.0,11848.0,12308.5,12027.0,13773.0,12435.0
9,hk48,run,2.0,1.5,1.0,1.5,2.0,1.0,1.5,1.0,2.0,1.5
10,swiss42,Optimal,1393.3333333333333,1406.0,1375.0,1337.0,1352.3333333333333,1313.0,1350.5,1337.0,1506.6666666666667,1447.0
11,swiss42,run,2.0,1.5,1.0,1.5,2.0,1.0,1.5,1.0,2.0,2.0
